49722433536,-214545858560,-20373880832,266546315264,274461245440,-338559074304,16370178048,-69998231552,-408267816960,75481866240,44776083456,309509685248,181215248384,-347361050624,424342028288,-168158527488
191134597120,-194118402048,-99100803072,107448016896,326831439872,-88329019392,255792119808,-388855922688,145278255104,-242374754304,-98075631616,180249657344,-1170724608,-429008814080,350628184064,-275750879232
-117357846528,298125426688,-149815640064,368266477568,364927287296,-199333675008,58988900352,-307721633792,46235766784,-195641491456,-318370938880,-154705362944,-272928538624,-44368506880,125760700416,304323133440
206891859968,-380737191936,-366500675584,106629758976,-328796962816,-262440026112,133016199168,-377735315456,-346643169280,144415342592,-41194024960,240920330240,-165786337280,155129462784,49302663168,19224197120
27808247808,-110591950848,244313800704,-93830168576,-62342078464,432657137664,-181897035776,-242201427968,-91382382592,-133094670336,-388807229440,-154785742848,15531152384,383232966656,-133729411072,-358849314816
-126822948864,-292909973504,-47203840000,-424766963712,-415157321728,116968251392,-408953847808,49642827776,28426856448,-99836256256,21833537536,-290195243008,55395692544,-33307967488,427783749632,-100768718848
-10608553984,-317383868416,-249000083456,217533267968,-148478935040,-150365831168,-119157522432,372172554240,-51762937856,-314655473664,-17148288000,-206120894464,-184476368,-213117026304,224084770816,-122428506112
127744049152,-309396439040,148205076480,-177735122944,-169496821760,-82840436736,1517385216,119188996096,-332774211584,409628409856,231888748544,-323112468480,-51907571712,-174865678336,-41543598080,349384343552
-378686111744,-201131376640,-121887948800,332654280704,245136048128,-101446270976,-422230687744,277739012096,-274459656192,-127007244288,-292056432640,-83023495168,340609859584,-179322093568,139307352064,65836781568
-364935512064,-241294163968,-291384229888,-271941926912,27532935168,-342962831360,389444239360,26172876800,-412343468032,-223590154240,58639560704,-409449168896,286470897664,97194409984,431714074624,215757471744
391474020352,376476729344,203430625280,87076511744,-315404779520,389250416640,276157726720,423809089536,-68050231296,-347560804352,-195208298496,369511170048,-2057433088,-300018597888,-428946653184,-351923470336
-45062905856,196186161152,-213663678464,-284546990080,-128412721152,71783931904,-150796828672,-213681438720,419089743872,-401598021632,103446634496,140505104384,315693072384,319650004992,185803784192,-76152889344
-295801552896,222451843072,342305570816,201109798912,-378647805952,-371887570944,416358301696,17771630592,39817871360,-241756258304,-209068130304,-205473988608,340742438912,364908544000,286166384640,45814038528
-256341245952,-184965611520,306260443136,401425235968,145779032064,140299059200,-190637309952,-184185536512,66319138816,395899666432,113182400512,-320484737024,392251932672,-324607082496,189365551104,-330625908736
253285662720,-346574389248,11822433280,-286779473920,-232189591552,-295037009920,-353366016000,307002736640,-75587534848,390185844736,344347541504,-371843792896,-319063425024,-143552823296,345953173504,-390208585728
-187568553984,73840467968,297548644352,372003667968,420939857920,67788750848,-164616011776,308681539584,-39144452096,-376363483136,-187134541824,362486956032,-243016499200,-241629495296,100405305344,-194245902336
